Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph
TRIP_00035,Connaught Place,Karol Bagh,3.42,Evening Peak,Weekend,Rain,High,Inner Road,7.8
TRIP_00036,Rajouri Garden,Punjabi Bagh,2.52,Evening Peak,Weekday,Clear,Very High,Highway,20.6
TRIP_00037,Preet Vihar,Pitampura,17.1,Evening Peak,Weekday,Fog,High,Highway,23.4
TRIP_00038,Punjabi Bagh,Model Town,7.93,Evening Peak,Weekday,Heatwave,Very High,Main Road,13.1
TRIP_00039,Okhla,Civil Lines,17.22,Afternoon,Weekday,Clear,Low,Inner Road,35.7
TRIP_00040,Okhla,Rajouri Garden,19.41,Afternoon,Weekday,Clear,High,Main Road,21.1
TRIP_00041,Vasant Kunj,Chandni Chowk,16.27,Afternoon,Weekday,Heatwave,Medium,Highway,47.0
TRIP_00042,Preet Vihar,Lajpat Nagar,9.58,Morning Peak,Weekend,Rain,Low,Highway,61.9
TRIP_00043,Vasant Kunj,Shahdara,21.4,Evening Peak,Weekday,Clear,Very High,Highway,18.9
TRIP_00044,Preet Vihar,Rajouri Garden,16.6,Afternoon,Weekday,Clear,Low,Main Road,54.1
TRIP_00045,Model Town,Noida Sector 18,20.73,Afternoon,Weekday,Fog,Very High,Highway,9.1
TRIP_00046,Dwarka,Rohini,17.53,Evening Peak,Weekday,Clear,High,Highway,45.8
TRIP_00047,Pitampura,Preet Vihar,17.1,Night,Weekday,Clear,Low,Highway,66.0
TRIP_00048,Saket,Janakpuri,15.88,Morning Peak,Weekday,Clear,High,Main Road,24.5
TRIP_00049,Rajouri Garden,Saket,15.91,Evening Peak,Weekday,Heatwave,Very High,Highway,14.3
TRIP_00050,Model Town,Pitampura,5.98,Evening Peak,Weekday,Heatwave,Very High,Inner Road,7.9
TRIP_00051,Model Town,Saket,21.24,Night,Weekend,Clear,Medium,Main Road,41.1
TRIP_00052,Preet Vihar,Dwarka,24.67,Morning Peak,Weekday,Rain,High,Highway,28.1
TRIP_00053,Mayur Vihar,Connaught Place,7.89,Evening Peak,Weekday,Heatwave,High,Highway,29.6
TRIP_00054,Rajouri Garden,Vasant Kunj,14.56,Morning Peak,Weekday,Clear,High,Highway,38.0
TRIP_00055,IGI Airport,Chandni Chowk,16.54,Afternoon,Weekday,Heatwave,Very High,Highway,20.8
TRIP_00056,Karol Bagh,Vasant Kunj,15.08,Afternoon,Weekday,Rain,Medium,Highway,32.3
TRIP_00057,Lajpat Nagar,Dwarka,18.84,Afternoon,Weekend,Clear,Medium,Highway,47.1
TRIP_00058,Greater Kailash,Kalkaji,2.15,Afternoon,Weekday,Clear,High,Main Road,21.2
TRIP_00059,Greater Kailash,Chandni Chowk,11.55,Afternoon,Weekday,Clear,Low,Main Road,37.5
TRIP_00060,IGI Airport,Greater Kailash,13.13,Morning Peak,Weekend,Clear,High,Highway,31.0
TRIP_00061,Pitampura,Civil Lines,9.41,Morning Peak,Weekend,Clear,Medium,Highway,59.6
TRIP_00062,Greater Kailash,Mayur Vihar,9.55,Morning Peak,Weekday,Clear,High,Main Road,23.7
TRIP_00063,Lajpat Nagar,Punjabi Bagh,15.06,Evening Peak,Weekday,Clear,Very High,Main Road,10.3
TRIP_00064,Kalkaji,AIIMS,5.39,Morning Peak,Weekday,Clear,Very High,Highway,20.1
TRIP_00065,Saket,Dwarka,17.4,Night,Weekend,Clear,High,Highway,44.6
TRIP_00066,Karol Bagh,Civil Lines,4.62,Afternoon,Weekday,Fog,Medium,Inner Road,13.1
TRIP_00067,Connaught Place,Chandni Chowk,2.54,Morning Peak,Weekday,Clear,High,Inner Road,8.0
TRIP_00068,Preet Vihar,Lajpat Nagar,9.58,Evening Peak,Weekday,Rain,Very High,Main Road,8.1
TRIP_00069,Mayur Vihar,Rajouri Garden,17.23,Morning Peak,Weekday,Heatwave,Medium,Highway,59.0
TRIP_00070,Shahdara,Rohini,24.21,Morning Peak,Weekend,Rain,Medium,Highway,44.8
TRIP_00071,Shahdara,Okhla,15.92,Evening Peak,Weekday,Clear,Very High,Highway,18.0
TRIP_00072,Vasant Kunj,Okhla,11.21,Afternoon,Weekday,Rain,High,Highway,30.2
TRIP_00073,Hauz Khas,Connaught Place,9.27,Evening Peak,Weekend,Clear,Medium,Main Road,36.4
TRIP_00074,Chandni Chowk,Dwarka,19.18,Afternoon,Weekday,Clear,Medium,Main Road,34.8
TRIP_00075,Dwarka,Saket,17.4,Evening Peak,Weekday,Fog,Very High,Highway,9.1
TRIP_00076,Preet Vihar,Lajpat Nagar,9.58,Afternoon,Weekday,Clear,High,Inner Road,14.9
TRIP_00077,Janakpuri,Punjabi Bagh,6.67,Evening Peak,Weekday,Clear,Very High,Inner Road,9.5
TRIP_00078,Shahdara,Dwarka,25.37,Morning Peak,Weekend,Heatwave,Medium,Highway,49.0
TRIP_00079,Kalkaji,Nehru Place,1.51,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.3
TRIP_00080,Greater Kailash,Noida Sector 18,9.35,Evening Peak,Weekday,Clear,High,Inner Road,10.7
TRIP_00081,Model Town,Kalkaji,20.77,Afternoon,Weekday,Heatwave,Medium,Highway,48.2
TRIP_00082,IGI Airport,Rajouri Garden,10.32,Afternoon,Weekday,Rain,Medium,Main Road,25.5
TRIP_00083,Greater Kailash,Model Town,19.14,Afternoon,Weekday,Clear,Medium,Main Road,43.4
TRIP_00084,Connaught Place,IGI Airport,14.14,Night,Weekend,Heatwave,Low,Main Road,38.1
TRIP_00085,Noida Sector 18,Chandni Chowk,12.9,Evening Peak,Weekend,Clear,High,Main Road,30.2
TRIP_00086,Okhla,Saket,6.33,Morning Peak,Weekday,Clear,Medium,Main Road,41.4
TRIP_00087,Punjabi Bagh,Karol Bagh,6.08,Night,Weekday,Clear,Medium,Main Road,27.8
TRIP_00088,Nehru Place,Karol Bagh,12.97,Evening Peak,Weekday,Heatwave,Very High,Highway,19.2
TRIP_00089,Punjabi Bagh,Okhla,20.5,Afternoon,Weekday,Rain,Medium,Highway,41.3
TRIP_00090,Karol Bagh,IGI Airport,13.83,Evening Peak,Weekend,Clear,High,Main Road,18.2
TRIP_00091,Kalkaji,Janakpuri,18.68,Morning Peak,Weekday,Clear,Very High,Highway,19.7
TRIP_00092,Kalkaji,Shahdara,15.71,Morning Peak,Weekday,Rain,Medium,Main Road,21.4
TRIP_00093,Model Town,Vasant Kunj,22.01,Evening Peak,Weekend,Clear,Very High,Highway,18.2
TRIP_00094,Okhla,Pitampura,23.54,Evening Peak,Weekend,Clear,High,Highway,34.6
TRIP_00095,Lajpat Nagar,Pitampura,18.08,Afternoon,Weekday,Clear,Low,Inner Road,14.5
TRIP_00096,Model Town,Punjabi Bagh,7.93,Night,Weekday,Clear,Low,Inner Road,34.3
TRIP_00097,Hauz Khas,Nehru Place,5.2,Morning Peak,Weekday,Clear,Very High,Inner Road,8.2
TRIP_00098,Kalkaji,AIIMS,5.39,Night,Weekday,Rain,Low,Inner Road,28.7
TRIP_00099,Vasant Kunj,Rohini,27.39,Afternoon,Weekend,Clear,Medium,Highway,45.7
TRIP_00100,AIIMS,IGI Airport,10.81,Morning Peak,Weekday,Clear,Very High,Highway,20.5
TRIP_00101,AIIMS,Rohini,25.2,Evening Peak,Weekday,Heatwave,High,Main Road,27.4
TRIP_00102,Kalkaji,Mayur Vihar,9.67,Evening Peak,Weekend,Heatwave,High,Main Road,22.1
TRIP_00103,Punjabi Bagh,Dwarka,11.86,Evening Peak,Weekday,Clear,Very High,Highway,15.6
TRIP_00104,Saket,Hauz Khas,2.85,Morning Peak,Weekday,Heatwave,Very High,Inner Road,7.7
TRIP_00105,Okhla,AIIMS,7.2,Evening Peak,Weekday,Clear,High,Main Road,20.4
TRIP_00106,Model Town,Nehru Place,19.38,Night,Weekend,Clear,Low,Main Road,50.6
TRIP_00107,IGI Airport,Chandni Chowk,16.54,Morning Peak,Weekend,Heatwave,Medium,Highway,48.5
TRIP_00108,Janakpuri,Nehru Place,18.07,Afternoon,Weekend,Rain,Low,Highway,42.9
TRIP_00109,Saket,Model Town,21.24,Evening Peak,Weekday,Heatwave,High,Highway,38.1
TRIP_00110,Preet Vihar,Shahdara,3.56,Evening Peak,Weekday,Heatwave,High,Main Road,18.2
TRIP_00111,Dwarka,Vasant Kunj,13.52,Morning Peak,Weekend,Heatwave,Medium,Main Road,25.8
TRIP_00112,Punjabi Bagh,Dwarka,11.86,Evening Peak,Weekend,Clear,Medium,Highway,52.7
TRIP_00113,IGI Airport,Preet Vihar,21.04,Evening Peak,Weekday,Fog,High,Inner Road,8.1
TRIP_00114,Dwarka,Rajouri Garden,9.64,Night,Weekday,Fog,Medium,Main Road,14.4
TRIP_00115,Chandni Chowk,Mayur Vihar,7.47,Evening Peak,Weekday,Fog,Low,Highway,38.3
TRIP_00116,Karol Bagh,Chandni Chowk,3.94,Afternoon,Weekend,Clear,High,Inner Road,17.5
TRIP_00117,Okhla,AIIMS,7.2,Morning Peak,Weekend,Heatwave,Low,Main Road,56.8
TRIP_00118,Saket,Rohini,29.0,Afternoon,Weekday,Rain,High,Highway,30.8
TRIP_00119,Lajpat Nagar,Chandni Chowk,8.98,Morning Peak,Weekday,Clear,High,Main Road,18.2
TRIP_00120,Rohini,Kalkaji,30.48,Evening Peak,Weekday,Clear,Medium,Highway,53.0
TRIP_00121,Kalkaji,Karol Bagh,14.25,Evening Peak,Weekday,Clear,Low,Highway,71.6
TRIP_00122,Preet Vihar,Connaught Place,7.48,Night,Weekend,Rain,Medium,Highway,33.4
TRIP_00123,Okhla,Connaught Place,12.39,Evening Peak,Weekday,Clear,High,Highway,33.6
TRIP_00124,Karol Bagh,Vasant Kunj,15.08,Evening Peak,Weekday,Fog,High,Highway,17.6
TRIP_00125,Vasant Kunj,Janakpuri,13.24,Evening Peak,Weekend,Rain,High,Highway,28.3
TRIP_00126,Greater Kailash,Rohini,28.43,Morning Peak,Weekday,Clear,Very High,Highway,19.8
TRIP_00127,Shahdara,Dwarka,25.37,Evening Peak,Weekend,Clear,Low,Highway,61.6
TRIP_00128,Rohini,Pitampura,8.97,Afternoon,Weekday,Clear,Medium,Inner Road,15.2
TRIP_00129,Saket,Dwarka,17.4,Evening Peak,Weekend,Clear,High,Main Road,23.7
TRIP_00130,Chandni Chowk,Karol Bagh,3.94,Evening Peak,Weekday,Heatwave,High,Main Road,21.1
TRIP_00131,Lajpat Nagar,Dwarka,18.84,Night,Weekday,Clear,High,Highway,42.8
TRIP_00132,Chandni Chowk,Shahdara,6.2,Afternoon,Weekday,Clear,Medium,Main Road,43.4
TRIP_00133,Lajpat Nagar,Preet Vihar,9.58,Morning Peak,Weekend,Clear,Medium,Highway,48.9
TRIP_00134,Connaught Place,Hauz Khas,9.27,Morning Peak,Weekday,Rain,Medium,Main Road,19.3
TRIP_00135,Model Town,Noida Sector 18,20.73,Evening Peak,Weekday,Heatwave,High,Highway,30.9
TRIP_00136,Connaught Place,IGI Airport,14.14,Morning Peak,Weekday,Clear,Medium,Main Road,38.8
TRIP_00137,Karol Bagh,Rajouri Garden,6.66,Night,Weekday,Clear,Low,Main Road,46.5
TRIP_00138,AIIMS,Lajpat Nagar,2.68,Night,Weekday,Rain,Low,Inner Road,13.9
TRIP_00139,Janakpuri,Rajouri Garden,4.38,Morning Peak,Weekend,Heatwave,High,Main Road,27.2
TRIP_00140,Shahdara,Greater Kailash,15.04,Evening Peak,Weekday,Clear,High,Main Road,22.3
TRIP_00141,Kalkaji,Preet Vihar,12.39,Morning Peak,Weekday,Rain,Very High,Inner Road,5.2
TRIP_00142,Preet Vihar,Pitampura,17.1,Afternoon,Weekday,Rain,Medium,Main Road,26.5
TRIP_00143,Connaught Place,Punjabi Bagh,9.3,Afternoon,Weekday,Clear,Medium,Main Road,39.3
TRIP_00144,Lajpat Nagar,Model Town,16.71,Evening Peak,Weekend,Fog,Low,Highway,40.6
TRIP_00145,AIIMS,Hauz Khas,2.2,Evening Peak,Weekday,Clear,Very High,Inner Road,9.0
TRIP_00146,Rajouri Garden,Chandni Chowk,10.59,Morning Peak,Weekday,Clear,Medium,Main Road,36.7
TRIP_00147,Lajpat Nagar,Model Town,16.71,Morning Peak,Weekday,Clear,Very High,Main Road,11.6
TRIP_00148,Vasant Kunj,Noida Sector 18,17.44,Evening Peak,Weekday,Heatwave,High,Highway,39.6
TRIP_00149,Greater Kailash,AIIMS,3.26,Afternoon,Weekday,Fog,High,Main Road,12.6
TRIP_00150,Saket,Dwarka,17.4,Morning Peak,Weekend,Clear,High,Highway,39.2
TRIP_00151,Rohini,Preet Vihar,25.98,Evening Peak,Weekday,Clear,Low,Highway,78.6
TRIP_00152,Noida Sector 18,Karol Bagh,16.06,Morning Peak,Weekday,Rain,High,Main Road,17.7
TRIP_00153,Dwarka,Vasant Kunj,13.52,Evening Peak,Weekday,Clear,Medium,Main Road,29.3
TRIP_00154,Dwarka,Shahdara,25.37,Afternoon,Weekday,Fog,Medium,Highway,36.2
TRIP_00155,Rohini,AIIMS,25.2,Evening Peak,Weekend,Rain,High,Main Road,15.6
TRIP_00156,Preet Vihar,Civil Lines,7.88,Morning Peak,Weekday,Clear,High,Inner Road,12.0
TRIP_00157,Preet Vihar,IGI Airport,21.04,Afternoon,Weekday,Heatwave,Very High,Highway,20.3
TRIP_00158,Connaught Place,Greater Kailash,9.57,Evening Peak,Weekend,Rain,Low,Main Road,28.7
TRIP_00159,Nehru Place,Connaught Place,9.83,Afternoon,Weekday,Clear,High,Main Road,29.0
TRIP_00160,Janakpuri,Preet Vihar,20.09,Night,Weekday,Fog,Low,Main Road,32.1
TRIP_00161,Nehru Place,Civil Lines,14.85,Afternoon,Weekday,Rain,Medium,Inner Road,16.8
TRIP_00162,Dwarka,Chandni Chowk,19.18,Morning Peak,Weekend,Fog,Medium,Inner Road,14.9
TRIP_00163,Dwarka,Civil Lines,20.04,Night,Weekday,Heatwave,Low,Highway,71.0
TRIP_00164,Pitampura,Karol Bagh,8.11,Evening Peak,Weekday,Clear,Very High,Main Road,9.6
TRIP_00165,Nehru Place,IGI Airport,14.99,Morning Peak,Weekday,Clear,High,Highway,38.6
TRIP_00166,Model Town,Saket,21.24,Evening Peak,Weekday,Rain,High,Highway,23.2
TRIP_00167,Vasant Kunj,AIIMS,7.41,Evening Peak,Weekday,Fog,Low,Main Road,24.6
TRIP_00168,IGI Airport,Vasant Kunj,6.9,Evening Peak,Weekday,Fog,Very High,Main Road,4.8
TRIP_00169,Pitampura,Greater Kailash,20.1,Evening Peak,Weekday,Clear,High,Highway,41.0
TRIP_00170,Hauz Khas,Pitampura,18.42,Evening Peak,Weekend,Heatwave,High,Highway,38.1
TRIP_00171,Lajpat Nagar,Greater Kailash,2.6,Evening Peak,Weekday,Clear,High,Main Road,28.5
TRIP_00172,AIIMS,Saket,4.77,Morning Peak,Weekday,Rain,Very High,Inner Road,4.8
TRIP_00173,Shahdara,Dwarka,25.37,Afternoon,Weekend,Rain,Low,Highway,44.8
TRIP_00174,Hauz Khas,Civil Lines,14.76,Morning Peak,Weekend,Clear,High,Main Road,21.6
TRIP_00175,Shahdara,Nehru Place,14.22,Evening Peak,Weekday,Clear,Very High,Main Road,11.1
TRIP_00176,Civil Lines,Karol Bagh,4.62,Morning Peak,Weekday,Heatwave,High,Main Road,21.6
TRIP_00177,Okhla,Greater Kailash,4.03,Evening Peak,Weekday,Clear,Very High,Inner Road,8.3
TRIP_00178,Kalkaji,Preet Vihar,12.39,Morning Peak,Weekend,Rain,Medium,Highway,31.8
TRIP_00179,Preet Vihar,Rajouri Garden,16.6,Morning Peak,Weekday,Clear,Very High,Main Road,9.5
TRIP_00180,Connaught Place,Noida Sector 18,12.67,Evening Peak,Weekday,Clear,Medium,Main Road,42.4
TRIP_00181,Lajpat Nagar,Connaught Place,7.13,Evening Peak,Weekend,Clear,Medium,Inner Road,23.1
TRIP_00182,Karol Bagh,Janakpuri,10.56,Afternoon,Weekday,Clear,High,Main Road,26.5
TRIP_00183,Okhla,Pitampura,23.54,Evening Peak,Weekend,Clear,High,Highway,36.3
TRIP_00184,Saket,Vasant Kunj,4.88,Afternoon,Weekday,Clear,High,Main Road,26.3
TRIP_00185,Shahdara,Rohini,24.21,Morning Peak,Weekday,Clear,High,Highway,41.4
TRIP_00186,Model Town,Shahdara,10.5,Morning Peak,Weekday,Rain,Very High,Highway,12.0
TRIP_00187,Connaught Place,Rajouri Garden,9.35,Afternoon,Weekday,Fog,High,Main Road,11.3
TRIP_00188,Chandni Chowk,Civil Lines,3.35,Afternoon,Weekend,Clear,Medium,Inner Road,14.5
TRIP_00189,Greater Kailash,Preet Vihar,11.95,Evening Peak,Weekend,Fog,Low,Main Road,22.1
TRIP_00190,Kalkaji,Janakpuri,18.68,Night,Weekday,Rain,Low,Inner Road,27.2
TRIP_00191,Mayur Vihar,Kalkaji,9.67,Evening Peak,Weekend,Clear,Low,Main Road,40.5
TRIP_00192,Civil Lines,Model Town,5.0,Evening Peak,Weekday,Fog,Medium,Inner Road,7.7
TRIP_00193,Connaught Place,Lajpat Nagar,7.13,Morning Peak,Weekday,Rain,High,Highway,29.9
TRIP_00194,Shahdara,Saket,18.39,Night,Weekday,Rain,Low,Main Road,34.2
TRIP_00195,Nehru Place,Connaught Place,9.83,Morning Peak,Weekday,Clear,Very High,Main Road,11.6
TRIP_00196,Nehru Place,Vasant Kunj,9.97,Evening Peak,Weekday,Clear,High,Main Road,20.4
TRIP_00197,Karol Bagh,Model Town,7.02,Afternoon,Weekday,Clear,Low,Main Road,54.9
TRIP_00198,Vasant Kunj,Greater Kailash,8.11,Morning Peak,Weekday,Fog,High,Main Road,16.3
TRIP_00199,Nehru Place,Lajpat Nagar,2.8,Night,Weekend,Clear,Low,Inner Road,37.9
TRIP_00200,Noida Sector 18,Punjabi Bagh,21.94,Morning Peak,Weekday,Clear,Medium,Highway,54.4
TRIP_00201,Nehru Place,Civil Lines,14.85,Morning Peak,Weekend,Clear,Medium,Main Road,29.7
TRIP_00202,Pitampura,Lajpat Nagar,18.08,Afternoon,Weekday,Clear,Medium,Main Road,40.9
TRIP_00203,Rajouri Garden,Nehru Place,16.77,Evening Peak,Weekday,Heatwave,High,Inner Road,15.3
TRIP_00204,AIIMS,Saket,4.77,Evening Peak,Weekday,Rain,Very High,Main Road,9.0
TRIP_00205,Punjabi Bagh,Hauz Khas,14.84,Evening Peak,Weekday,Clear,Very High,Main Road,11.0
TRIP_00206,Civil Lines,Greater Kailash,14.87,Morning Peak,Weekday,Rain,High,Inner Road,11.4
TRIP_00207,Greater Kailash,Model Town,19.14,Evening Peak,Weekday,Heatwave,Very High,Highway,18.7
TRIP_00208,Nehru Place,Kalkaji,1.51,Morning Peak,Weekend,Clear,High,Inner Road,13.6
TRIP_00209,Shahdara,Kalkaji,15.71,Night,Weekend,Fog,Medium,Main Road,17.8
TRIP_00210,Karol Bagh,Noida Sector 18,16.06,Afternoon,Weekday,Clear,Low,Main Road,54.9
TRIP_00211,Shahdara,Hauz Khas,16.26,Morning Peak,Weekend,Clear,Very High,Main Road,13.1
TRIP_00212,AIIMS,Rajouri Garden,12.31,Evening Peak,Weekday,Rain,High,Highway,22.4
TRIP_00213,Pitampura,Greater Kailash,20.1,Morning Peak,Weekday,Rain,Low,Main Road,40.1
TRIP_00214,AIIMS,Civil Lines,12.66,Morning Peak,Weekend,Clear,Medium,Inner Road,27.4
TRIP_00215,Rohini,Preet Vihar,25.98,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.6
TRIP_00216,Mayur Vihar,AIIMS,9.79,Afternoon,Weekend,Rain,High,Main Road,17.8
TRIP_00217,Dwarka,IGI Airport,6.61,Afternoon,Weekday,Clear,Medium,Main Road,44.5
TRIP_00218,AIIMS,Hauz Khas,2.2,Morning Peak,Weekday,Clear,High,Highway,31.4
TRIP_00219,Model Town,Rohini,13.8,Morning Peak,Weekday,Clear,High,Main Road,16.7
TRIP_00220,Vasant Kunj,Greater Kailash,8.11,Afternoon,Weekday,Clear,Low,Main Road,54.2
TRIP_00221,Vasant Kunj,IGI Airport,6.9,Evening Peak,Weekday,Rain,Very High,Highway,11.8
TRIP_00222,Lajpat Nagar,Greater Kailash,2.6,Morning Peak,Weekday,Clear,Very High,Inner Road,8.6
TRIP_00223,Chandni Chowk,IGI Airport,16.54,Morning Peak,Weekend,Clear,High,Main Road,24.7
TRIP_00224,Model Town,Connaught Place,9.58,Afternoon,Weekday,Rain,Medium,Main Road,27.9
TRIP_00225,Rajouri Garden,AIIMS,12.31,Morning Peak,Weekday,Clear,High,Main Road,24.9
TRIP_00226,Nehru Place,Preet Vihar,10.93,Morning Peak,Weekday,Clear,Low,Highway,75.6
TRIP_00227,Kalkaji,AIIMS,5.39,Evening Peak,Weekday,Clear,High,Inner Road,14.5
TRIP_00228,Mayur Vihar,Civil Lines,10.05,Evening Peak,Weekday,Heatwave,Low,Highway,57.2
TRIP_00229,Saket,Lajpat Nagar,5.89,Morning Peak,Weekend,Clear,Low,Highway,80.5
TRIP_00230,Model Town,Punjabi Bagh,7.93,Evening Peak,Weekday,Clear,High,Inner Road,13.4
TRIP_00231,IGI Airport,Noida Sector 18,22.12,Afternoon,Weekend,Clear,Low,Highway,69.2
TRIP_00232,Chandni Chowk,Greater Kailash,11.55,Morning Peak,Weekend,Clear,Very High,Highway,21.9
TRIP_00233,Preet Vihar,Civil Lines,7.88,Morning Peak,Weekday,Heatwave,Very High,Inner Road,8.0
TRIP_00234,AIIMS,Rajouri Garden,12.31,Afternoon,Weekend,Rain,Low,Main Road,35.4
TRIP_00235,Connaught Place,Noida Sector 18,12.67,Night,Weekday,Fog,Low,Main Road,28.8
TRIP_00236,Rajouri Garden,Saket,15.91,Evening Peak,Weekday,Heatwave,Very High,Inner Road,8.1
TRIP_00237,Chandni Chowk,Mayur Vihar,7.47,Morning Peak,Weekday,Clear,Medium,Main Road,33.4
TRIP_00238,Civil Lines,Mayur Vihar,10.05,Afternoon,Weekend,Clear,Medium,Highway,50.9
TRIP_00239,Noida Sector 18,Rajouri Garden,21.63,Evening Peak,Weekend,Heatwave,Medium,Main Road,38.8
TRIP_00240,Nehru Place,Lajpat Nagar,2.8,Evening Peak,Weekday,Fog,Very High,Main Road,7.8
TRIP_00241,AIIMS,Civil Lines,12.66,Evening Peak,Weekend,Clear,Very High,Main Road,12.9
TRIP_00242,Rohini,Noida Sector 18,33.01,Afternoon,Weekend,Heatwave,Low,Inner Road,15.6
TRIP_00243,Saket,Connaught Place,11.95,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.8
TRIP_00244,Karol Bagh,Chandni Chowk,3.94,Morning Peak,Weekday,Clear,High,Inner Road,15.5
TRIP_00245,Hauz Khas,Model Town,18.43,Evening Peak,Weekday,Fog,High,Main Road,10.8
TRIP_00246,Karol Bagh,Lajpat Nagar,10.19,Afternoon,Weekday,Clear,Medium,Highway,60.1
TRIP_00247,Preet Vihar,Greater Kailash,11.95,Morning Peak,Weekday,Fog,Medium,Main Road,23.3
TRIP_00248,Okhla,Punjabi Bagh,20.5,Morning Peak,Weekday,Fog,Very High,Highway,10.0
TRIP_00249,AIIMS,Shahdara,14.08,Evening Peak,Weekend,Rain,Medium,Main Road,19.1
TRIP_00250,Greater Kailash,Hauz Khas,3.32,Evening Peak,Weekday,Clear,High,Inner Road,8.9
TRIP_00251,Karol Bagh,Preet Vihar,10.02,Evening Peak,Weekend,Heatwave,Medium,Highway,63.9
TRIP_00252,Noida Sector 18,IGI Airport,22.12,Evening Peak,Weekday,Clear,Very High,Highway,16.5
TRIP_00253,Nehru Place,Greater Kailash,1.9,Afternoon,Weekday,Heatwave,Low,Inner Road,24.3
TRIP_00254,Rohini,Preet Vihar,25.98,Morning Peak,Weekend,Clear,Medium,Highway,60.4
TRIP_00255,Greater Kailash,Connaught Place,9.57,Evening Peak,Weekend,Clear,Medium,Inner Road,13.9
TRIP_00256,Greater Kailash,AIIMS,3.26,Evening Peak,Weekday,Clear,Very High,Inner Road,8.7
